CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
2,Eixample,2017,Objectes a netejar / retirar,l'Antiga Esquerra de l'Eixample,1125677,41.385751,Recollida i neteja de l'espai urbà,4581922,429667,2.15879,30,NO VOL RESPOSTA,218,Neteja carrers i/o places,93,1,Carrer,2016,12,TELÈFON,Consell de Cent,8,1,INCIDENCIA,1
8,Nou Barris,2017,Fuita aigua neta de companyia o particular,la Guineueta,1125691,41.441829,Manteniment de l'espai urbà,4588138,430678,2.170172,30,NO VOL RESPOSTA,4,Fuites d'aigua neta,57,1,Carrer,2016,12,TELÈFON,Castor,48,2,INCIDENCIA,1
6,Gràcia,2017,Fuita aigua neta de companyia o particular,la Vila de Gràcia,1125693,41.403532,Manteniment de l'espai urbà,4583902,429050,2.151188,30,NO VOL RESPOSTA,11,Fuites d'aigua neta,40,1,Carrer,2016,12,TELÈFON,Carolines,31,3,INCIDENCIA,1
2,Eixample,2017,Objectes a netejar / retirar,la Nova Esquerra de l'Eixample,1125681,41.382316,Recollida i neteja de l'espai urbà,4581552,428496,2.144839,31,NO VOL RESPOSTA,11,Neteja carrers i/o places,127,1,Carrer,2016,12,TELÈFON,Provença,9,4,INCIDENCIA,1
1,Ciutat Vella,2017,Contenidor rebuig / orgànic,el Barri Gòtic,1125682,41.384763,Recollida i neteja de l'espai urbà,4581801,430787,2.172202,31,EMAIL,25,Recollida brossa domiciliària,22,1,Carrer,2016,12,MÒBIL,Canuda,2,5,INCIDENCIA,1
6,Gràcia,2017,Objectes a netejar / retirar,el Camp d'en Grassot i Gràcia Nova,1125683,41.406515,Recollida i neteja de l'espai urbà,4584221,430315,2.166283,31,NO VOL RESPOSTA,274,Neteja carrers i/o places,76,1,Travessera,2016,12,TELÈFON,Gràcia,32,6,INCIDENCIA,1
2,Eixample,2017,Objectes a netejar / retirar,la Sagrada Família,1125684,41.406981,Recollida i neteja de l'espai urbà,4584266,431061,2.175198,31,SMS,473,Neteja carrers i/o places,36,1,Carrer,2016,12,TELÈFON,Rosselló,6,7,INCIDENCIA,1
6,Gràcia,2017,Objectes a netejar / retirar,Vallcarca i els Penitents,1125685,41.4149,Recollida i neteja de l'espai urbà,4585170,428422,2.14352,31,EMAIL,48,Neteja carrers i/o places,12,1,Carrer,2016,12,TELÈFON,Gustavo Bécquer,28,8,INCIDENCIA,1
6,Gràcia,2017,Objectes a netejar / retirar,el Camp d'en Grassot i Gràcia Nova,1125686,41.408563,Recollida i neteja de l'espai urbà,4584451,430075,2.163383,31,EMAIL,123,Neteja carrers i/o places,83,1,Carrer,2016,12,MÒBIL,Encarnació,32,9,INCIDENCIA,1
7,Horta-Guinardó,2017,Ascensor urbà incidències,el Carmel,1125689,41.428909,Manteniment de l'espai urbà,4586715,429568,2.157054,31,NO VOL RESPOSTA,27,Ascensors urbans,72,1,Carrer,2016,12,TELÈFON,Lisboa,37,10,INCIDENCIA,1
